ItemID;CommonName;Genus;Species;Family
1035;snakecotton, plains;Froelichia;floridana;Amaranthaceae
820;snakecotton, slender;Froelichia;gracilis;Amaranthaceae
418;fumitory, drug;Fumaria;officinalis;Papaveraceae
929;blanketflower;Gaillardia;aristata;Asteraceae
1818;beetleweed or wand flower;Galax;urceolata;Diapensiaceae
1704;orchid, showy;Galearis;spectabilis;Orchidaceae
821;hempnettle, red;Galeopsis;ladanum;Lamiaceae
638;hempnettle, brittlestem;Galeopsis;tetrahit;Lamiaceae
1037;soldier, gallant;Galinsoga;parviflora;Asteraceae
930;shaggy soldier;Galinsoga;quadriradiata;Asteraceae
419;baby's-breath, false;Galium;album;Rubiaceae
209;bedstraw, catchweed;Galium;aparine;Rubiaceae
1513;bedstraw, rough;Galium;asprellum;Rubiaceae
211;bedstraw, northern;Galium;boreale;Rubiaceae
1684;bedstraw, licorice;Galium;circaezans;Rubiaceae
1097;bedstraw, shining;Galium;concinnum;Rubiaceae
1090;bedstraw, northern bog;Galium;labradoricum;Rubiaceae
1747;licorice, lance-leaved wild;Galium;lanceolatum;Rubiaceae
1514;bedstraw, bluntleaf;Galium;obtusum;Rubiaceae
744;bedstraw, common marsh;Galium;palustre;Rubiaceae
422;bedstraw, stiff marsh;Galium;tinctorium;Rubiaceae
212;bedstraw, small;Galium;trifidum;Rubiaceae
213;bedstraw, sweetscented;Galium;triflorum;Rubiaceae
423;bedstraw, Yellow Spring;Galium;verum;Rubiaceae
639;snowberry, creeping;Gaultheria;hispidula;Ericaceae
1280;teaberry, eastern;Gaultheria;procumbens;Ericaceae
1281;huckleberry, black;Gaylussacia;baccata;Ericaceae
1639;greenwood, dyer's;Genista;tinctoria;Fabaceae
1319;gentian, yellow;Gentiana;alba;Gentianaceae
1318;gentian, closed bottle;Gentiana;andrewsii;Gentianaceae
1320;gentian, downy;Gentiana;puberulenta;Gentianaceae
1321;gentian, closed;Gentiana;rubricaulis;Gentianaceae
1323;agueweed;Gentianella;quinquefolia;Gentianaceae
746;fringed-gentian, greater;Gentianopsis;crinita;Gentianaceae
1324;fringed-gentian, lesser;Gentianopsis;virgata;Gentianaceae
642;toadflax, false;Geocaulon;lividum;Santalaceae
425;cranesbill, Bicknell's;Geranium;bicknellii;Geraniaceae
115;geranium, Carolina;Geranium;carolinianum;Geraniaceae
643;cranesbill, longstalk;Geranium;columbinum;Geraniaceae
1325;crane'sbill, spotted;Geranium;maculatum;Geraniaceae
116;geranium, dovefoot;Geranium;molle;Geraniaceae
1326;crane'sbill, meadow;Geranium;pratense;Geraniaceae
277;crane's-bill, small-flowered;Geranium;pusillum;Geraniaceae
426;geranium, Robert;Geranium;robertianum;Geraniaceae
1327;crane's-bill, Siberian;Geranium;sibiricum;Geraniaceae
198;avens, yellow;Geum;aleppicum;Rosaceae
745;avens, white;Geum;canadense;Rosaceae
1511;strawberry, Appalachian false;Geum;fragarioides;Rosaceae
1489;avens, rough;Geum;laciniatum;Rosaceae
427;avens, largeleaf;Geum;macrophyllum;Rosaceae
644;avens, purple;Geum;rivale;Rosaceae
279;whiskers, old man's;Geum;triflorum;Rosaceae
1100;bennet, herb;Geum;urbanum;Rosaceae
1679;avens, spring;Geum;vernum;Rosaceae
1742;avens, cream;Geum;virginianum;Rosaceae
1726;gilia, California;Gilia;achilleifolia;Polemoniaceae
823;vervain, Dakota mock;Glandularia;bipinnatifida;Verbenaceae
1694;vervain, rose mock;Glandularia;canadensis;Verbenaceae
429;groundivy;Glechoma;hederacea;Lamiaceae
824;honeylocust;Gleditsia;triacanthos;Fabaceae
280;licorice, American;Glycyrrhiza;lepidota;Fabaceae
